Namespace(batch_size=1, camera='realsense', checkpoint_path='logs/log_rs_2_MsEF_MsBL_20000_512_0.003/minkuresunet_epoch18.tar', collision_thresh=0.01, dataset_root='/home/guihaiyuan/data/Benchmark/graspnet', log_dir='logs/inference_rs_2_MsEF_MsBL_20000_512_0.003_obs_CD1', num_point=20000, num_workers=30, seed_feat_dim=512, seg_checkpoint_path='logs/log_insseg/checkpoint.tar', voxel_size=0.003, voxel_size_cd=0.01)
Namespace(batch_size=1, camera='realsense', checkpoint_path='logs/log_rs_2_MsEF_MsBL_20000_512_0.003/minkuresunet_epoch18.tar', collision_thresh=0.01, dataset_root='/home/guihaiyuan/data/Benchmark/graspnet', log_dir='logs/inference_rs_2_MsEF_MsBL_20000_512_0.003_obs_CD1', num_point=20000, num_workers=2, seed_feat_dim=512, seg_checkpoint_path='logs/log_insseg/checkpoint.tar', voxel_size=0.003, voxel_size_cd=0.01)
Inferrence batch: 0, total_time: 0.034137s, time: 0.034137s
Inferrence batch: 1, total_time: 0.059599s, time: 0.025462s
Inferrence batch: 2, total_time: 0.085711s, time: 0.026112s
Inferrence batch: 3, total_time: 0.111394s, time: 0.025684s
Inferrence batch: 4, total_time: 0.137082s, time: 0.025688s
Inferrence batch: 5, total_time: 0.162866s, time: 0.025784s
Inferrence batch: 6, total_time: 0.188595s, time: 0.025729s
Inferrence batch: 7, total_time: 0.214992s, time: 0.026397s
Inferrence batch: 8, total_time: 0.241009s, time: 0.026018s
Inferrence batch: 9, total_time: 0.266892s, time: 0.025882s
Inferrence batch: 10, total_time: 0.292576s, time: 0.025684s
Inferrence batch: 11, total_time: 0.318609s, time: 0.026033s
Inferrence batch: 12, total_time: 0.344204s, time: 0.025595s
Inferrence batch: 13, total_time: 0.369855s, time: 0.025652s
Inferrence batch: 14, total_time: 0.395519s, time: 0.025664s
Inferrence batch: 15, total_time: 0.420842s, time: 0.025322s
Inferrence batch: 16, total_time: 0.446122s, time: 0.025280s
Inferrence batch: 17, total_time: 0.471694s, time: 0.025572s
Inferrence batch: 18, total_time: 0.497070s, time: 0.025376s
Inferrence batch: 19, total_time: 0.522718s, time: 0.025648s
Inferrence batch: 20, total_time: 0.548167s, time: 0.025449s
Inferrence batch: 21, total_time: 0.573597s, time: 0.025430s
Inferrence batch: 22, total_time: 0.599727s, time: 0.026130s
Inferrence batch: 23, total_time: 0.625241s, time: 0.025514s
Inferrence batch: 24, total_time: 0.650712s, time: 0.025471s
Inferrence batch: 25, total_time: 0.676265s, time: 0.025553s
Inferrence batch: 26, total_time: 0.701815s, time: 0.025550s
Inferrence batch: 27, total_time: 0.727399s, time: 0.025584s
Inferrence batch: 28, total_time: 0.752942s, time: 0.025543s
Inferrence batch: 29, total_time: 0.778408s, time: 0.025466s
Inferrence batch: 30, total_time: 0.803849s, time: 0.025441s
Inferrence batch: 31, total_time: 0.829099s, time: 0.025250s
Inferrence batch: 32, total_time: 0.854560s, time: 0.025461s
Inferrence batch: 33, total_time: 0.879982s, time: 0.025421s
Inferrence batch: 34, total_time: 0.905365s, time: 0.025383s
Inferrence batch: 35, total_time: 0.931390s, time: 0.026025s
Inferrence batch: 36, total_time: 0.956824s, time: 0.025434s
Inferrence batch: 37, total_time: 0.982453s, time: 0.025629s
Inferrence batch: 38, total_time: 1.007920s, time: 0.025467s
Inferrence batch: 39, total_time: 1.033574s, time: 0.025654s
Inferrence batch: 40, total_time: 1.059121s, time: 0.025547s
Inferrence batch: 41, total_time: 1.084603s, time: 0.025482s
Inferrence batch: 42, total_time: 1.110113s, time: 0.025510s
Inferrence batch: 43, total_time: 1.135679s, time: 0.025566s
Inferrence batch: 44, total_time: 1.161309s, time: 0.025630s
Inferrence batch: 45, total_time: 1.186862s, time: 0.025552s
Inferrence batch: 46, total_time: 1.212771s, time: 0.025910s
Inferrence batch: 47, total_time: 1.238405s, time: 0.025634s
Inferrence batch: 48, total_time: 1.264325s, time: 0.025920s
Inferrence batch: 49, total_time: 1.290008s, time: 0.025682s
Inferrence batch: 50, total_time: 1.315576s, time: 0.025568s
Inferrence batch: 51, total_time: 1.341080s, time: 0.025505s
Inferrence batch: 52, total_time: 1.366555s, time: 0.025475s
Inferrence batch: 53, total_time: 1.392145s, time: 0.025589s
Inferrence batch: 54, total_time: 1.417458s, time: 0.025313s
Inferrence batch: 55, total_time: 1.443090s, time: 0.025632s
Inferrence batch: 56, total_time: 1.468744s, time: 0.025653s
Inferrence batch: 57, total_time: 1.494393s, time: 0.025649s
Inferrence batch: 58, total_time: 1.520559s, time: 0.026166s
Inferrence batch: 59, total_time: 1.546267s, time: 0.025708s
Inferrence batch: 60, total_time: 1.571830s, time: 0.025564s
Inferrence batch: 61, total_time: 1.597360s, time: 0.025530s
Inferrence batch: 62, total_time: 1.623432s, time: 0.026072s
Inferrence batch: 63, total_time: 1.649108s, time: 0.025676s
Inferrence batch: 64, total_time: 1.674874s, time: 0.025766s
Inferrence batch: 65, total_time: 1.700494s, time: 0.025620s
Inferrence batch: 66, total_time: 1.726272s, time: 0.025779s
Inferrence batch: 67, total_time: 1.752018s, time: 0.025746s
Inferrence batch: 68, total_time: 1.777768s, time: 0.025749s
Inferrence batch: 69, total_time: 1.803698s, time: 0.025930s
Inferrence batch: 70, total_time: 1.829749s, time: 0.026051s
Inferrence batch: 71, total_time: 1.855711s, time: 0.025962s
Inferrence batch: 72, total_time: 1.881946s, time: 0.026235s
Inferrence batch: 73, total_time: 1.907813s, time: 0.025867s
Inferrence batch: 74, total_time: 1.933806s, time: 0.025993s
Inferrence batch: 75, total_time: 1.959790s, time: 0.025984s
Inferrence batch: 76, total_time: 1.985730s, time: 0.025940s
Inferrence batch: 77, total_time: 2.011636s, time: 0.025906s
Inferrence batch: 78, total_time: 2.037740s, time: 0.026104s
Inferrence batch: 79, total_time: 2.063591s, time: 0.025851s
Inferrence batch: 80, total_time: 2.089384s, time: 0.025793s
Inferrence batch: 81, total_time: 2.115168s, time: 0.025784s
Inferrence batch: 82, total_time: 2.141114s, time: 0.025946s
Inferrence batch: 83, total_time: 2.166800s, time: 0.025687s
Inferrence batch: 84, total_time: 2.192487s, time: 0.025687s
Inferrence batch: 85, total_time: 2.218241s, time: 0.025753s
Inferrence batch: 86, total_time: 2.243953s, time: 0.025712s
Inferrence batch: 87, total_time: 2.269535s, time: 0.025583s
Inferrence batch: 88, total_time: 2.294812s, time: 0.025277s
Inferrence batch: 89, total_time: 2.320311s, time: 0.025499s
Inferrence batch: 90, total_time: 2.345608s, time: 0.025297s
Inferrence batch: 91, total_time: 2.371128s, time: 0.025520s
Inferrence batch: 92, total_time: 2.396616s, time: 0.025488s
Inferrence batch: 93, total_time: 2.422098s, time: 0.025483s
Inferrence batch: 94, total_time: 2.447738s, time: 0.025640s
Inferrence batch: 95, total_time: 2.473200s, time: 0.025462s
Inferrence batch: 96, total_time: 2.498958s, time: 0.025758s
Inferrence batch: 97, total_time: 2.524704s, time: 0.025746s
Inferrence batch: 98, total_time: 2.550903s, time: 0.026199s
Inferrence batch: 99, total_time: 2.576476s, time: 0.025573s
Inferrence batch: 100, total_time: 2.602342s, time: 0.025866s
Inferrence batch: 101, total_time: 2.628261s, time: 0.025919s
Inferrence batch: 102, total_time: 2.654165s, time: 0.025904s
Inferrence batch: 103, total_time: 2.679944s, time: 0.025779s
Inferrence batch: 104, total_time: 2.705777s, time: 0.025833s
Inferrence batch: 105, total_time: 2.731571s, time: 0.025794s
Inferrence batch: 106, total_time: 2.757193s, time: 0.025622s
Inferrence batch: 107, total_time: 2.783610s, time: 0.026417s
Inferrence batch: 108, total_time: 2.809348s, time: 0.025738s
Inferrence batch: 109, total_time: 2.835326s, time: 0.025978s
Inferrence batch: 110, total_time: 2.861170s, time: 0.025844s
Inferrence batch: 111, total_time: 2.887034s, time: 0.025864s
Inferrence batch: 112, total_time: 2.912811s, time: 0.025777s
Inferrence batch: 113, total_time: 2.938534s, time: 0.025723s
Inferrence batch: 114, total_time: 2.963890s, time: 0.025357s
Inferrence batch: 115, total_time: 2.989709s, time: 0.025819s
Inferrence batch: 116, total_time: 3.015808s, time: 0.026098s
Inferrence batch: 117, total_time: 3.041499s, time: 0.025692s
Inferrence batch: 118, total_time: 3.066871s, time: 0.025372s
Inferrence batch: 119, total_time: 3.092195s, time: 0.025323s
Inferrence batch: 120, total_time: 3.117346s, time: 0.025151s
Inferrence batch: 121, total_time: 3.142768s, time: 0.025422s
Inferrence batch: 122, total_time: 3.168346s, time: 0.025578s
