Inferrence batch: 0, total_time: 0.030114s, time: 0.030114s
Inferrence batch: 1, total_time: 0.055601s, time: 0.025487s
Inferrence batch: 2, total_time: 0.080918s, time: 0.025316s
Inferrence batch: 3, total_time: 0.106188s, time: 0.025271s
Inferrence batch: 4, total_time: 0.131423s, time: 0.025235s
Inferrence batch: 5, total_time: 0.156739s, time: 0.025316s
Inferrence batch: 6, total_time: 0.182331s, time: 0.025592s
Inferrence batch: 7, total_time: 0.207525s, time: 0.025194s
Inferrence batch: 8, total_time: 0.232688s, time: 0.025163s
Inferrence batch: 9, total_time: 0.257896s, time: 0.025208s
Inferrence batch: 10, total_time: 0.283126s, time: 0.025230s
Inferrence batch: 11, total_time: 0.308688s, time: 0.025562s
Inferrence batch: 12, total_time: 0.333820s, time: 0.025132s
Inferrence batch: 13, total_time: 0.359853s, time: 0.026032s
Inferrence batch: 14, total_time: 0.384902s, time: 0.025049s
Inferrence batch: 15, total_time: 0.409848s, time: 0.024946s
Inferrence batch: 16, total_time: 0.434789s, time: 0.024941s
Inferrence batch: 17, total_time: 0.459938s, time: 0.025149s
Inferrence batch: 18, total_time: 0.485093s, time: 0.025155s
Inferrence batch: 19, total_time: 0.510141s, time: 0.025048s
Inferrence batch: 20, total_time: 0.535211s, time: 0.025070s
Inferrence batch: 21, total_time: 0.560613s, time: 0.025403s
Inferrence batch: 22, total_time: 0.585842s, time: 0.025229s
Inferrence batch: 23, total_time: 0.611206s, time: 0.025364s
Inferrence batch: 24, total_time: 0.636360s, time: 0.025154s
Inferrence batch: 25, total_time: 0.661679s, time: 0.025319s
Inferrence batch: 26, total_time: 0.686792s, time: 0.025112s
Inferrence batch: 27, total_time: 0.711941s, time: 0.025150s
Inferrence batch: 28, total_time: 0.737065s, time: 0.025124s
Inferrence batch: 29, total_time: 0.762281s, time: 0.025216s
Inferrence batch: 30, total_time: 0.787493s, time: 0.025212s
Inferrence batch: 31, total_time: 0.812637s, time: 0.025144s
Inferrence batch: 32, total_time: 0.837842s, time: 0.025205s
Inferrence batch: 33, total_time: 0.863112s, time: 0.025270s
Inferrence batch: 34, total_time: 0.888353s, time: 0.025241s
Inferrence batch: 35, total_time: 0.913941s, time: 0.025587s
Inferrence batch: 36, total_time: 0.939172s, time: 0.025231s
Inferrence batch: 37, total_time: 0.964513s, time: 0.025341s
Inferrence batch: 38, total_time: 0.989797s, time: 0.025284s
Inferrence batch: 39, total_time: 1.015155s, time: 0.025358s
Inferrence batch: 40, total_time: 1.040349s, time: 0.025194s
Inferrence batch: 41, total_time: 1.065682s, time: 0.025333s
Inferrence batch: 42, total_time: 1.090850s, time: 0.025168s
Inferrence batch: 43, total_time: 1.117733s, time: 0.026883s
Inferrence batch: 44, total_time: 1.142856s, time: 0.025123s
Inferrence batch: 45, total_time: 1.167910s, time: 0.025054s
Inferrence batch: 46, total_time: 1.194052s, time: 0.026142s
Inferrence batch: 47, total_time: 1.219741s, time: 0.025689s
Inferrence batch: 48, total_time: 1.246153s, time: 0.026412s
Inferrence batch: 49, total_time: 1.271664s, time: 0.025511s
Inferrence batch: 50, total_time: 1.297216s, time: 0.025552s
Inferrence batch: 51, total_time: 1.322855s, time: 0.025639s
Inferrence batch: 52, total_time: 1.348959s, time: 0.026104s
Inferrence batch: 53, total_time: 1.374355s, time: 0.025396s
Inferrence batch: 54, total_time: 1.399755s, time: 0.025400s
Inferrence batch: 55, total_time: 1.425625s, time: 0.025870s
Inferrence batch: 56, total_time: 1.451042s, time: 0.025417s
Inferrence batch: 57, total_time: 1.476344s, time: 0.025302s
Inferrence batch: 58, total_time: 1.502094s, time: 0.025750s
Inferrence batch: 59, total_time: 1.527661s, time: 0.025567s
Inferrence batch: 60, total_time: 1.552849s, time: 0.025187s
Inferrence batch: 61, total_time: 1.578218s, time: 0.025369s
Inferrence batch: 62, total_time: 1.603495s, time: 0.025277s
Inferrence batch: 63, total_time: 1.628813s, time: 0.025317s
Inferrence batch: 64, total_time: 1.654144s, time: 0.025331s
Inferrence batch: 65, total_time: 1.679383s, time: 0.025239s
Inferrence batch: 66, total_time: 1.704795s, time: 0.025412s
Inferrence batch: 67, total_time: 1.730451s, time: 0.025656s
Inferrence batch: 68, total_time: 1.756174s, time: 0.025723s
Inferrence batch: 69, total_time: 1.781955s, time: 0.025781s
Inferrence batch: 70, total_time: 1.807775s, time: 0.025820s
Inferrence batch: 71, total_time: 1.833638s, time: 0.025863s
Inferrence batch: 72, total_time: 1.859499s, time: 0.025860s
Inferrence batch: 73, total_time: 1.885350s, time: 0.025851s
Inferrence batch: 74, total_time: 1.911241s, time: 0.025891s
Inferrence batch: 75, total_time: 1.937069s, time: 0.025828s
Inferrence batch: 76, total_time: 1.962752s, time: 0.025683s
Inferrence batch: 77, total_time: 1.988271s, time: 0.025520s
Inferrence batch: 78, total_time: 2.013863s, time: 0.025592s
Inferrence batch: 79, total_time: 2.039550s, time: 0.025687s
Inferrence batch: 80, total_time: 2.065290s, time: 0.025741s
Inferrence batch: 81, total_time: 2.090848s, time: 0.025558s
Inferrence batch: 82, total_time: 2.116597s, time: 0.025749s
Inferrence batch: 83, total_time: 2.142346s, time: 0.025748s
Inferrence batch: 84, total_time: 2.167712s, time: 0.025367s
Inferrence batch: 85, total_time: 2.193051s, time: 0.025338s
Inferrence batch: 86, total_time: 2.219030s, time: 0.025979s
Inferrence batch: 87, total_time: 2.244321s, time: 0.025291s
Inferrence batch: 88, total_time: 2.269812s, time: 0.025491s
Inferrence batch: 89, total_time: 2.295470s, time: 0.025658s
Inferrence batch: 90, total_time: 2.321515s, time: 0.026045s
Inferrence batch: 91, total_time: 2.346783s, time: 0.025268s
Inferrence batch: 92, total_time: 2.371419s, time: 0.024636s
Inferrence batch: 93, total_time: 2.396901s, time: 0.025482s
Inferrence batch: 94, total_time: 2.423476s, time: 0.026575s
Inferrence batch: 95, total_time: 2.449231s, time: 0.025755s
Inferrence batch: 96, total_time: 2.476860s, time: 0.027628s
Inferrence batch: 97, total_time: 2.505599s, time: 0.028739s
Inferrence batch: 98, total_time: 2.533493s, time: 0.027894s
Inferrence batch: 99, total_time: 2.559082s, time: 0.025589s
Inferrence batch: 100, total_time: 2.585107s, time: 0.026025s
Inferrence batch: 101, total_time: 2.610982s, time: 0.025875s
Inferrence batch: 102, total_time: 2.637180s, time: 0.026198s
Inferrence batch: 103, total_time: 2.665318s, time: 0.028138s
Inferrence batch: 104, total_time: 2.694349s, time: 0.029031s
Inferrence batch: 105, total_time: 2.724175s, time: 0.029826s
Inferrence batch: 106, total_time: 2.754803s, time: 0.030628s
Inferrence batch: 107, total_time: 2.785172s, time: 0.030369s
Inferrence batch: 108, total_time: 2.810759s, time: 0.025587s
Inferrence batch: 109, total_time: 2.836410s, time: 0.025651s
Inferrence batch: 110, total_time: 2.861751s, time: 0.025341s
Inferrence batch: 111, total_time: 2.887233s, time: 0.025482s
Inferrence batch: 112, total_time: 2.912831s, time: 0.025598s
Inferrence batch: 113, total_time: 2.938252s, time: 0.025421s
Inferrence batch: 114, total_time: 2.963950s, time: 0.025698s
Inferrence batch: 115, total_time: 2.989379s, time: 0.025429s
Inferrence batch: 116, total_time: 3.014675s, time: 0.025295s
Inferrence batch: 117, total_time: 3.040051s, time: 0.025376s
Inferrence batch: 118, total_time: 3.065383s, time: 0.025332s
