Inferrence batch: 0, total_time: 0.031480s, time: 0.031480s
Inferrence batch: 1, total_time: 0.056967s, time: 0.025487s
Inferrence batch: 2, total_time: 0.083152s, time: 0.026185s
Inferrence batch: 3, total_time: 0.108796s, time: 0.025644s
Inferrence batch: 4, total_time: 0.134729s, time: 0.025934s
Inferrence batch: 5, total_time: 0.160239s, time: 0.025510s
Inferrence batch: 6, total_time: 0.189222s, time: 0.028983s
Inferrence batch: 7, total_time: 0.223969s, time: 0.034747s
Inferrence batch: 8, total_time: 0.261715s, time: 0.037745s
Inferrence batch: 9, total_time: 0.295542s, time: 0.033828s
Inferrence batch: 10, total_time: 0.321487s, time: 0.025944s
Inferrence batch: 11, total_time: 0.347425s, time: 0.025938s
Inferrence batch: 12, total_time: 0.373382s, time: 0.025957s
Inferrence batch: 13, total_time: 0.403992s, time: 0.030611s
Inferrence batch: 14, total_time: 0.433805s, time: 0.029813s
Inferrence batch: 15, total_time: 0.462811s, time: 0.029006s
Inferrence batch: 16, total_time: 0.490227s, time: 0.027416s
Inferrence batch: 17, total_time: 0.515791s, time: 0.025564s
Inferrence batch: 18, total_time: 0.543906s, time: 0.028116s
Inferrence batch: 19, total_time: 0.574425s, time: 0.030519s
Inferrence batch: 20, total_time: 0.605610s, time: 0.031184s
Inferrence batch: 21, total_time: 0.635748s, time: 0.030138s
Inferrence batch: 22, total_time: 0.666453s, time: 0.030705s
Inferrence batch: 23, total_time: 0.695954s, time: 0.029501s
Inferrence batch: 24, total_time: 0.723514s, time: 0.027560s
Inferrence batch: 25, total_time: 0.752411s, time: 0.028897s
Inferrence batch: 26, total_time: 0.782241s, time: 0.029830s
Inferrence batch: 27, total_time: 0.807713s, time: 0.025472s
Inferrence batch: 28, total_time: 0.833367s, time: 0.025654s
Inferrence batch: 29, total_time: 0.858693s, time: 0.025326s
Inferrence batch: 30, total_time: 0.884325s, time: 0.025632s
Inferrence batch: 31, total_time: 0.913660s, time: 0.029335s
Inferrence batch: 32, total_time: 0.941336s, time: 0.027676s
Inferrence batch: 33, total_time: 0.966830s, time: 0.025494s
Inferrence batch: 34, total_time: 0.993833s, time: 0.027003s
Inferrence batch: 35, total_time: 1.023374s, time: 0.029540s
Inferrence batch: 36, total_time: 1.053204s, time: 0.029830s
Inferrence batch: 37, total_time: 1.083616s, time: 0.030412s
Inferrence batch: 38, total_time: 1.114028s, time: 0.030412s
Inferrence batch: 39, total_time: 1.143806s, time: 0.029778s
Inferrence batch: 40, total_time: 1.173822s, time: 0.030016s
Inferrence batch: 41, total_time: 1.201020s, time: 0.027199s
Inferrence batch: 42, total_time: 1.226858s, time: 0.025838s
Inferrence batch: 43, total_time: 1.254637s, time: 0.027779s
Inferrence batch: 44, total_time: 1.284714s, time: 0.030077s
Inferrence batch: 45, total_time: 1.315077s, time: 0.030363s
Inferrence batch: 46, total_time: 1.345998s, time: 0.030921s
Inferrence batch: 47, total_time: 1.375537s, time: 0.029539s
Inferrence batch: 48, total_time: 1.405821s, time: 0.030284s
Inferrence batch: 49, total_time: 1.433416s, time: 0.027596s
Inferrence batch: 50, total_time: 1.459296s, time: 0.025880s
Inferrence batch: 51, total_time: 1.487014s, time: 0.027717s
Inferrence batch: 52, total_time: 1.516999s, time: 0.029985s
Inferrence batch: 53, total_time: 1.546600s, time: 0.029601s
Inferrence batch: 54, total_time: 1.577322s, time: 0.030721s
Inferrence batch: 55, total_time: 1.607264s, time: 0.029943s
Inferrence batch: 56, total_time: 1.637030s, time: 0.029766s
Inferrence batch: 57, total_time: 1.666500s, time: 0.029470s
Inferrence batch: 58, total_time: 1.692273s, time: 0.025774s
Inferrence batch: 59, total_time: 1.717683s, time: 0.025410s
Inferrence batch: 60, total_time: 1.746869s, time: 0.029186s
Inferrence batch: 61, total_time: 1.776498s, time: 0.029628s
Inferrence batch: 62, total_time: 1.806225s, time: 0.029727s
Inferrence batch: 63, total_time: 1.835679s, time: 0.029454s
Inferrence batch: 64, total_time: 1.865659s, time: 0.029981s
Inferrence batch: 65, total_time: 1.895869s, time: 0.030209s
Inferrence batch: 66, total_time: 1.926322s, time: 0.030454s
Inferrence batch: 67, total_time: 1.951787s, time: 0.025465s
Inferrence batch: 68, total_time: 1.977638s, time: 0.025851s
Inferrence batch: 69, total_time: 2.006990s, time: 0.029352s
Inferrence batch: 70, total_time: 2.037174s, time: 0.030184s
Inferrence batch: 71, total_time: 2.066987s, time: 0.029813s
Inferrence batch: 72, total_time: 2.097352s, time: 0.030365s
Inferrence batch: 73, total_time: 2.127035s, time: 0.029683s
Inferrence batch: 74, total_time: 2.157143s, time: 0.030107s
Inferrence batch: 75, total_time: 2.184569s, time: 0.027427s
Inferrence batch: 76, total_time: 2.210467s, time: 0.025897s
Inferrence batch: 77, total_time: 2.239464s, time: 0.028998s
Inferrence batch: 78, total_time: 2.270523s, time: 0.031059s
Inferrence batch: 79, total_time: 2.300111s, time: 0.029588s
Inferrence batch: 80, total_time: 2.330637s, time: 0.030527s
Inferrence batch: 81, total_time: 2.360299s, time: 0.029661s
Inferrence batch: 82, total_time: 2.390357s, time: 0.030058s
Inferrence batch: 83, total_time: 2.417195s, time: 0.026838s
Inferrence batch: 84, total_time: 2.442995s, time: 0.025800s
Inferrence batch: 85, total_time: 2.471109s, time: 0.028114s
Inferrence batch: 86, total_time: 2.500984s, time: 0.029875s
Inferrence batch: 87, total_time: 2.530300s, time: 0.029316s
Inferrence batch: 88, total_time: 2.559965s, time: 0.029665s
Inferrence batch: 89, total_time: 2.589415s, time: 0.029450s
