Inferrence batch: 0, total_time: 0.033579s, time: 0.033579s
Inferrence batch: 1, total_time: 0.059053s, time: 0.025474s
Inferrence batch: 2, total_time: 0.084584s, time: 0.025531s
Inferrence batch: 3, total_time: 0.110981s, time: 0.026396s
Inferrence batch: 4, total_time: 0.136418s, time: 0.025438s
Inferrence batch: 5, total_time: 0.162376s, time: 0.025957s
Inferrence batch: 6, total_time: 0.188117s, time: 0.025741s
Inferrence batch: 7, total_time: 0.213859s, time: 0.025742s
Inferrence batch: 8, total_time: 0.239667s, time: 0.025808s
Inferrence batch: 9, total_time: 0.265293s, time: 0.025625s
Inferrence batch: 10, total_time: 0.291167s, time: 0.025874s
Inferrence batch: 11, total_time: 0.316956s, time: 0.025789s
Inferrence batch: 12, total_time: 0.344269s, time: 0.027313s
Inferrence batch: 13, total_time: 0.370112s, time: 0.025843s
Inferrence batch: 14, total_time: 0.395741s, time: 0.025629s
Inferrence batch: 15, total_time: 0.421667s, time: 0.025926s
Inferrence batch: 16, total_time: 0.447495s, time: 0.025828s
Inferrence batch: 17, total_time: 0.476410s, time: 0.028916s
Inferrence batch: 18, total_time: 0.502086s, time: 0.025676s
Inferrence batch: 19, total_time: 0.528005s, time: 0.025918s
Inferrence batch: 20, total_time: 0.553843s, time: 0.025839s
Inferrence batch: 21, total_time: 0.579607s, time: 0.025764s
Inferrence batch: 22, total_time: 0.605393s, time: 0.025785s
Inferrence batch: 23, total_time: 0.631116s, time: 0.025724s
Inferrence batch: 24, total_time: 0.656945s, time: 0.025828s
Inferrence batch: 25, total_time: 0.685808s, time: 0.028863s
Inferrence batch: 26, total_time: 0.711956s, time: 0.026149s
Inferrence batch: 27, total_time: 0.737644s, time: 0.025687s
Inferrence batch: 28, total_time: 0.763802s, time: 0.026158s
Inferrence batch: 29, total_time: 0.789592s, time: 0.025791s
Inferrence batch: 30, total_time: 0.815241s, time: 0.025648s
Inferrence batch: 31, total_time: 0.841474s, time: 0.026233s
Inferrence batch: 32, total_time: 0.867307s, time: 0.025833s
Inferrence batch: 33, total_time: 0.893174s, time: 0.025868s
Inferrence batch: 34, total_time: 0.919433s, time: 0.026259s
Inferrence batch: 35, total_time: 0.944991s, time: 0.025557s
Inferrence batch: 36, total_time: 0.970827s, time: 0.025836s
Inferrence batch: 37, total_time: 0.996711s, time: 0.025884s
Inferrence batch: 38, total_time: 1.022728s, time: 0.026016s
Inferrence batch: 39, total_time: 1.048493s, time: 0.025765s
Inferrence batch: 40, total_time: 1.074318s, time: 0.025825s
Inferrence batch: 41, total_time: 1.100378s, time: 0.026059s
Inferrence batch: 42, total_time: 1.126352s, time: 0.025975s
Inferrence batch: 43, total_time: 1.152041s, time: 0.025689s
Inferrence batch: 44, total_time: 1.177664s, time: 0.025622s
Inferrence batch: 45, total_time: 1.203334s, time: 0.025670s
Inferrence batch: 46, total_time: 1.229064s, time: 0.025730s
Inferrence batch: 47, total_time: 1.255207s, time: 0.026143s
Inferrence batch: 48, total_time: 1.281199s, time: 0.025992s
Inferrence batch: 49, total_time: 1.307046s, time: 0.025847s
Inferrence batch: 50, total_time: 1.333039s, time: 0.025992s
Inferrence batch: 51, total_time: 1.358976s, time: 0.025937s
Inferrence batch: 52, total_time: 1.384972s, time: 0.025996s
